# Task	= SimpleRun
# numericalMethod	= RK4
# debug	= 0
# intelegentStop	= 1
# Variable	= Frequency
# numberOfPeriods	= 10000
# maxNumberOfPeriods	= 25000
# numberOfExtremums	= 1000
# skipPeriods	= 25000
# printStep	= 10
# printLastNperiods	= 10
# timeStep	= 0.001
# outputPrecision	= 15
# acceptableDiff	= 1e-05
# alpha	= 0.1
# amplitude	= 0.1
# Hz	= 0
# frequency	= 0.1
# magnetization	= 338
# viscosity	= 0.006
# varMin	= 0.1
# varMax	= 1.55
# varStep	= 0.05
# smallTheta	= 0.005
# smallPhi	= 0.005
# bigTheta	= 0.0051
# bigPhi	= 3.14
# thermalBath	= 0
# linearPolarization	= 0
# hySign	= 1
===== Skipping 25000 periods =====
time	smallTheta	bigTheta	smallPhi	bigPhi	energy	energy/time	Frequency
1.607514695803184e+06	1.114528928253309e-01	5.609762199673574e-04	1.607514528745651e+05	8.685341789932422e+04	1.987689915540951e+01	1.236109741244639e-05	1.000000000000000e-01
1.608142386015161e+06	1.114508940564074e-01	5.587480057918525e-04	1.608142219143670e+05	8.691618359923596e+04	1.988465809526983e+01	1.236109741265009e-05	1.000000000000000e-01
1.608770076227138e+06	1.114487741616991e-01	5.566517753530045e-04	1.608769909529627e+05	8.697894903541535e+04	1.989241703513137e+01	1.236109741285815e-05	1.000000000000000e-01
1.609397766439115e+06	1.114465419736608e-01	5.546967961818165e-04	1.609397599902878e+05	8.704171422257971e+04	1.990017597499360e+01	1.236109741306752e-05	1.000000000000000e-01
1.610025456651092e+06	1.114442067072512e-01	5.528917455399363e-04	1.610025290262832e+05	8.710447917709040e+04	1.990793491485650e+01	1.236109741326624e-05	1.000000000000000e-01
1.610653146863068e+06	1.114417779649265e-01	5.512446481452987e-04	1.610652980608956e+05	8.716724391688824e+04	1.991569385472009e+01	1.236109741346252e-05	1.000000000000000e-01
1.611280837075045e+06	1.114392656318220e-01	5.497628213678624e-04	1.611280670940767e+05	8.723000846140526e+04	1.992345279458455e+01	1.236109741365768e-05	1.000000000000000e-01
1.611908527287022e+06	1.114366799543440e-01	5.484528221172236e-04	1.611908361257848e+05	8.729277283145949e+04	1.993121173445014e+01	1.236109741386280e-05	1.000000000000000e-01
1.612536217498999e+06	1.114340313912138e-01	5.473203975237619e-04	1.612536051559834e+05	8.735553704912576e+04	1.993897067431658e+01	1.236109741406124e-05	1.000000000000000e-01
1.613163907710976e+06	1.114313306158949e-01	5.463704419560112e-04	1.613163741846426e+05	8.741830113758724e+04	1.994672961418393e+01	1.236109741425537e-05	1.000000000000000e-01
1.613791597922953e+06	1.114285885013062e-01	5.456069600131609e-04	1.613791432117383e+05	8.748106512097066e+04	1.995448855405187e+01	1.236109741444623e-05	1.000000000000000e-01
1.614419288134930e+06	1.114258159820665e-01	5.450330359293610e-04	1.614419122372532e+05	8.754382902416610e+04	1.996224749392087e+01	1.236109741464863e-05	1.000000000000000e-01
1.615046978346907e+06	1.114230241276430e-01	5.446508098573710e-04	1.615046812611756e+05	8.760659287263035e+04	1.997000643379006e+01	1.236109741484718e-05	1.000000000000000e-01
1.615674668558883e+06	1.114202240212931e-01	5.444614621745549e-04	1.615674502835006e+05	8.766935669218583e+04	1.997776537366040e+01	1.236109741503770e-05	1.000000000000000e-01
1.616302358770860e+06	1.114174267682610e-01	5.444652062182792e-04	1.616302193042297e+05	8.773212050881020e+04	1.998552431353221e+01	1.236109741524151e-05	1.000000000000000e-01
1.616930048982837e+06	1.114146433580938e-01	5.446612876356039e-04	1.616929883233700e+05	8.779488434842313e+04	1.999328325340374e+01	1.236109741543831e-05	1.000000000000000e-01
